"Line Id","Username","Line password","Phone","Priority","Select Group 1 ~","Main Group","Model Name","User Function","IMEI Format: Machine Type-IMEI","EncryptionType 1-RSA / AES 2-SM2 / SM4","Sim number","User Type","SIM Card Expiration Time Format: yyyy-MM-dd","Set app password","Whether to enable the app password"
"EsjefE7LBTu9B62tZ0tG","Garfield Balistreri","TXupZeWCvj","","5","R0WClvTTWt,ItR3s8f5nm","YVPMP6NbpS","PwOSYo4OIR","3,6,7,11,12,19","","","","0","2020-06-01","","1"
"AMqxO6HDl37ZKR4SXh21","Jana Nikolaus","192ssehN57","","6","eysPLbTGLe,ZoBCOTN9bi","mLRoUbSQJ6","pWLy7deI9l","3,6,11","","","","0","2020-06-01","","1"
"12345678","Fernando Block","zZ5G1rCdAp","","3","0NgV2bAepW,c7a0qrHAeN","9wkD4dVhBG","PwOSYo4OIR","11,19","","","","0","2020-06-01","","1"
"X0D4daFm4qL0Wp4RY0iS","Lon Erdman DVM","IfXZdKXuTq","","9","A9aUiZkP8q,D5OfJwE0ab","lZ8HKdsXRc","TWWXphTbYx","3,6,7,19","","","","0","2020-06-01","","1"
"gqHJ6ASxWcYJnUPlNJeA","Lenore Schuster","lX63SBTZ2g","","1","3ZWbYzfVEr,RhrwqPBxUQ","c0MP7ilEdJ","UrCL8hx1gi","6,11,12","","","","0","2020-06-01","","1"
"OEk3NQAEy3Hbv4Z7QveF","Tate Bartell","wgccSnNIvt","","8","9kHxaz9sk1,fCJ8nco06w","MFwwpHisUe","vnebkdRRxe","7,12,19","","","","0","2020-06-01","","1"
"3aO6n9WnVFzBXW0e6foJ","Helen Pollich","UobSR2d0cR","","2","W3etWFCioR,y2qYyA0jp2","VyDuUvAAi9","DbF6MIoV2F","3,6","","","","0","2020-06-01","","1"
"42susg1H6JDFBFZLIm57","Dr. Katharina Bogan","hU55DvoCVK","","1","oyQ7fCFDJn,IyIvrvD2EQ","OJHDCmgmbi","IRe0QIHbSP","3,7,12,19","","","","0","2020-06-01","","1"
"xLE4t6JidoQsjaAvRnJU","Lucas Schaefer PhD","L5TOtSSTYO","","8","FPBbqw8J2s,zLldPcZ9W2","ojn58WAAi9","Uk8yxTKXcF","3,11,19","","","","0","2020-06-01","","1"
"122456","Bulah Mohr","tHi6DnxQJF","","6","y2qYyA0jp2,OJHDCmgmbi,oyQ7fCFDJn,FPBbqw8J2s,zLldPcZ9W2,HDJsmg8KMg,mvNFRWFA0y","T1NrlaCEmN","e5n5XXsQjO","11,12,19","","","","0","2020-06-01","","1"
